id,name,genre,director,actor,poster,description,rating,year
85615,Gorky Park,"Crime, Drama, Mystery",Michael Apted,"William Hurt, Lee Marvin, Brian Dennehy, Ian Bannen","https://m.media-amazon.com/images/M/MV5BMTU0NDQ4Njg0Ml5BMl5BanBnXkFtZTYwNzE2Njc5._V1._CR1,46,294,427_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg",An investigator on the Moscow police force relentlessly pursues the solution to a triple homicide which occurred in Moscow's Gorky Park. He finds that no one really wants him to solve the crime because it is just the tip of a complex conspiracy which involves the highest levels of the Moscow city government.,0,1983
85821,Last Night at the Alamo,Drama,Eagle Pennell,"Sonny Carl Davis, Lou Perryman, Steven Mattila, Tina-Bess Hubbard",https://m.media-amazon.com/images/M/MV5BMTQyMDU0MTE0M15BMl5BanBnXkFtZTcwOTE1NDAxMw@@._V1_SX300.jpg,"The cheerless events on the last night in the existence of a little suburban Houston pub. It has to be closed down for development reasons but one of the regular customers, Cowboy, seems to have friends in high places.",0,1983
85900,Le marginal,"Action, Crime, Drama",Jacques Deray,"Jean-Paul Belmondo, Henry Silva, Carlos Sotto Mayor, Pierre Vernier",https://m.media-amazon.com/images/M/MV5BMTgyODI1ODM4MV5BMl5BanBnXkFtZTYwNzM3NDc5._V1_SX300.jpg,The story is about Commissioner Jordan who arrives in Marseille to combat drug trafficking activities in his own unique way.,0,1983
86232,Sahara,"Adventure, Drama",Andrew V. McLaglen,"Brooke Shields, Lambert Wilson, Horst Buchholz, John Rhys-Davies",https://m.media-amazon.com/images/M/MV5BMTk2MjczNTY2OV5BMl5BanBnXkFtZTcwNzcyMTM4NA@@._V1_SX300.jpg,"After her father dies, young Dale takes his place in a trans-African auto race, but ends up being abducted by a desert sheik.",0,1983
86980,Blood Suckers from Outer Space,"Comedy, Horror, Sci-Fi",Glen Coburn,"Robert Bradeen, Big John Brigham, Glen Coburn, Franny Coppenbarger",https://m.media-amazon.com/images/M/MV5BNzUzOTk5NzQ2MF5BMl5BanBnXkFtZTcwNDAwNzkxMg@@._V1_SX300.jpg,Farmers in Texas become brainwashed bloodsuckers.,0,1984
88025,Running Hot,"Crime, Drama",Mark Griffiths,"Monica Carrico, Eric Stoltz, Stuart Margolin, Virgil Frye",https://m.media-amazon.com/images/M/MV5BMTMyNzM4MTkxM15BMl5BanBnXkFtZTcwMDk0ODQ1Mg@@._V1_SX300.jpg,"A teenager, wrongly convicted and sentenced to death for the murder of his father, escapes from jail. He hooks up with a prostitute and they take to the road to find the real killer of his father.",0,1984
93951,Shake!: Otis at Monterey,"Documentary, Short, Music",D.A. Pennebaker,"Otis Redding, Booker T. & the M.G.s, Steve Cropper, Donald Dunn",https://m.media-amazon.com/images/M/MV5BMjE0NDkxMTQ3MF5BMl5BanBnXkFtZTcwMzEzNzIzMQ@@._V1_SX300.jpg,Documentary on Otis Redding's performance at the 1967 Monterey Pop Festival.,0,1989
88952,Crystal Heart,"Drama, Music, Romance",Gil Bettman,"Lee Curreri, Tawny Kitaen, Lloyd Bochner, May Heatherly",https://m.media-amazon.com/images/M/MV5BMTI2NTk3NDY5OV5BMl5BanBnXkFtZTcwOTIyMzcyMQ@@._V1_SX300.jpg,"A 22 year old man who has lived inside a crystal room because of a rare illness, meets an up and coming rock star, and the two fall in love.",0,1986
106677,Dazed and Confused,Comedy,Richard Linklater,"Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews",https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_SX300.jpg,"It's the last day of school at a high school in a small town in Texas in 1976. The upperclassmen are hazing the incoming freshmen, and everyone is trying to get stoned, drunk, or laid, even the football players that signed a pledge not to.",0,1993
89052,Dreamchild,"Biography, Comedy, Drama",Gavin Millar,"Coral Browne, Ian Holm, Peter Gallagher, Caris Corfman",https://m.media-amazon.com/images/M/MV5BMjE0MDI2ODcwM15BMl5BanBnXkFtZTcwNTczMDAyMw@@._V1_SX300.jpg,"Exploring the somewhat darker and more mysterious side of the Lewis Carroll's classic book, the movie follows Alice Liddell (the book's inspiration) as an old woman who is haunted by the characters she was once so amused by. As she thinks back on it, she starts to see her relationship with the shy author/professor in a new way and realizes the vast change between the young Alice and the old.",0,1985
89420,King David,"Adventure, Biography, Drama",Bruce Beresford,"Richard Gere, Edward Woodward, Alice Krige, Denis Quilley",https://m.media-amazon.com/images/M/MV5BMTc1ODk1ODE5Ml5BMl5BanBnXkFtZTcwMzYyNDcxMQ@@._V1_SX300.jpg,This is a movie about the life of Israel's king David.,0,1985
89537,Mala Noche,Drama,Gus Van Sant,"Tim Streeter, Doug Cooeyate, Ray Monge, Nyla McCarthy",https://m.media-amazon.com/images/M/MV5BMTk5NjIwMjM4NF5BMl5BanBnXkFtZTcwNzI2MTI1MQ@@._V1_SX300.jpg,"A story of amour fou. Walt is madly in love/lust with a young illegal Mexican immigrant. However, the object of his unrequited affection doesn't even speak any English and finds Walt really strange and undesirable.",0,1986
92011,The Statue of Liberty,"Documentary, History",Ken Burns,"James Baldwin, Tucker Burr, Ray Charles, Mario Cuomo",https://m.media-amazon.com/images/M/MV5BMTQ3MTk4NDYyMl5BMl5BanBnXkFtZTcwODUzMjcyMQ@@._V1_SX300.jpg,Documentary showing the history of the world-famous Statue of Liberty in New York harbor.,0,1985
91313,Born American,"Action, Drama, Thriller",Renny Harlin,"Mike Norris, Steve Durham, David Coburn, Thalmus Rasulala",https://m.media-amazon.com/images/M/MV5BMTA4ODg4NzIyODFeQTJeQWpwZ15BbWU3MDIzOTQzMjE@._V1_SX300.jpg,"Three American students vacationing in Finland, cross the border into Russia for fun of it. When they are spotted by the Russian soldiers who are shooting to kill, it's not fun anymore. Captured and thrown in jail, they find it's not fun either. It's a nightmare.",0,1986
91647,Nomads,"Horror, Mystery, Thriller",John McTiernan,"Pierce Brosnan, Lesley-Anne Down, Anna Maria Monticelli, Adam Ant",https://m.media-amazon.com/images/M/MV5BMTIyNzY0NDMxNl5BMl5BanBnXkFtZTcwOTkzOTEyMQ@@._V1_SX300.jpg,"A French anthropologist gets murdered in Los Angeles after he discovers the existence of some unknown demonical creatures. Before he dies, he reveals his secret to a young doctor...",0,1986
91859,"Rita, Sue and Bob Too!","Comedy, Drama",Alan Clarke,"Michelle Holmes, Siobhan Finneran, George Costigan, Lesley Sharp",https://m.media-amazon.com/images/M/MV5BMjAxOTI2MDk1OF5BMl5BanBnXkFtZTcwMDE0OTMyMQ@@._V1_SX300.jpg,Realistic story of working class Yorkshire life. Two schoolgirls have a sexual fling with a married man. Serious and light-hearted by turns.,0,1987
93029,Five Corners,"Crime, Drama, Horror",Tony Bill,"Jodie Foster, Tim Robbins, Todd Graff, John Turturro",https://m.media-amazon.com/images/M/MV5BMTM5MDI5MjQyOF5BMl5BanBnXkFtZTcwNzUwODkxMQ@@._V1_SX300.jpg,"A psychotic young man returns to his old neighborhood after release from prison. He seeks out the woman he previously tried to rape and the man who protected her, with twisted ideas of love for her and hate for him.",0,1987
93144,Hansel and Gretel,"Family, Musical, Fantasy",Len Talan,"David Warner, Hugh Pollard, Nicola Stapleton, Emily Richard",https://m.media-amazon.com/images/M/MV5BMTk5ODQ4NjgwNl5BMl5BanBnXkFtZTcwMzM5ODA0NA@@._V1_SX300.jpg,Based on the fairy tale by The Brothers Grimm. Hansel and Gretel are trapped in the deceptively decorated house of the witch Griselda who wishes to fatten Hansel so that he may be baked into a delicious gingerbread treat.,0,1987
94919,Critters 2,"Comedy, Horror, Sci-Fi",Mick Garris,"Terrence Mann, Don Keith Opper, Cynthia Garris, Scott Grimes",https://m.media-amazon.com/images/M/MV5BMjAwMDUxNjMwMV5BMl5BanBnXkFtZTcwNTMwMTYyMQ@@._V1_SX300.jpg,"A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again.",0,1988
94606,The Accidental Tourist,"Drama, Romance",Lawrence Kasdan,"William Hurt, Kathleen Turner, Geena Davis, Amy Wright",https://m.media-amazon.com/images/M/MV5BMTUwMjU2NzQ3OF5BMl5BanBnXkFtZTcwOTI3OTk3MQ@@._V1_SX300.jpg,"After the death of his son, Macon Leary, a travel writer, seems to be sleep walking through life. Macon's wife, seems to be having trouble too, and thinks it would be best if the two would just split up. After the break up, Macon meets a strange outgoing woman, who seems to bring him back down to earth. After starting a relationship with the outgoing woman, Macon's wife seems to think that their marriage is still worth a try. Macon is then forced to deal many decisions",0,1988
96241,The Telephone,"Comedy, Drama",Rip Torn,"Whoopi Goldberg, Severn Darden, Elliott Gould, John Heard",https://m.media-amazon.com/images/M/MV5BODc5NDUxNzU1MF5BMl5BanBnXkFtZTYwNzE3MDk5._V1_SX300.jpg,"A crazy out of work actress, Vashti Blue, spends all her time in her small apartment with her pet owl and her telephone, which she uses to try and solve all her problems with life.",0,1988
96952,Bloodfist,"Action, Sport",Terence H. Winkless,"Don 'The Dragon' Wilson, Joe Mari Avellana, Rob Kaman, Billy Blanks",https://m.media-amazon.com/images/M/MV5BMTIxMDc5NTAwOV5BMl5BanBnXkFtZTcwOTA4ODQyMQ@@._V1_SX300.jpg,"Don Wilson plays retired kickboxer Jake Raye, who travels to Manila, where his brother is favored to win a kickboxing competition. His brother is killed, and Jake realizes he must enter the competition himself to flush out his brother's killer.",0,1989
98375,Spontaneous Combustion,"Horror, Sci-Fi, Thriller",Tobe Hooper,"Brad Dourif, Cynthia Bain, Jon Cypher, William Prince",https://m.media-amazon.com/images/M/MV5BMTM3OTg2NjUyOF5BMl5BanBnXkFtZTcwMjQ3ODQyMQ@@._V1_SX300.jpg,"A young man finds out that his parents had been used in an atomic-weapons experiment shortly before he was born, and that the results have had some unexpected effects on him.",0,1990
99242,Chattahoochee,"Biography, Drama",Mick Jackson,"Gary Oldman, Dennis Hopper, Frances McDormand, Pamela Reed",https://m.media-amazon.com/images/M/MV5BMTIyMDU5NTI2OV5BMl5BanBnXkFtZTcwNTAwOTkyMQ@@._V1_SX300.jpg,"An American war hero attempts suicide and ends up in Chattahoochee State Mental Hospital. But he realizes that the doctors in the hospital are humiliating patients, and staff are murdering them.",0,1989
99327,A Cry in the Wild,"Action, Adventure, Thriller",Mark Griffiths,"Jared Rushton, Pamela Sue Martin, Stephen Meadows, Ned Beatty",https://m.media-amazon.com/images/M/MV5BMjExOTgwMDAwMV5BMl5BanBnXkFtZTYwMzY0MTI5._V1_SX300.jpg,"13-year-old Brian is the sole survivor of an unreported plane crash. Alone in the Yukon wilderness, Brian must learn to survive by his wits, find food and shelter, and brave wild, hungry animals until or if he is found.",0,1990
99557,Fear,"Mystery, Thriller",Rockne S. O'Bannon,"Ally Sheedy, Lauren Hutton, Michael O'Keefe, Stan Shaw",https://m.media-amazon.com/images/M/MV5BMTU3NTc5OTQwNF5BMl5BanBnXkFtZTYwNDc1OTI5._V1_SX300.jpg,Psychic Cayce Bridges helps police solve murders by mentally linking with the murderer. Then she discovers a murderer with the same talent - who wants to share the fear of his victims with her.,0,1990
3456206,The Frontier,"Crime, Drama, Thriller",Oren Shai,"Jocelin Donahue, Kelly Lynch, Jim Beaver, Izabella Miko",https://m.media-amazon.com/images/M/MV5BMTY3MDMxODU1OV5BMl5BanBnXkFtZTgwMzc5MDE3NDE@._V1_SX300.jpg,"Laine, a young woman on the run from the law, turns up at the Frontier, an isolated desert diner and motel. She is offered a job by Luanne, the owner, and, hoping to lose herself in the obscurity of the place, accepts the job. But soon Laine realizes she has stumbled into an even bigger and more dangerous situation.",0,2015
99978,Laser Mission,"Action, Adventure, Thriller",BJ Davis,"Ernest Borgnine, Graham Clarke, Richard Cox, Gerry de Somma",https://m.media-amazon.com/images/M/MV5BMTIxNzE3NTEzN15BMl5BanBnXkFtZTcwMTkwMzgzMQ@@._V1_SX300.jpg,"Mercenary Gold is sent from the CIA to seize the laser expert Braun in Cuba, before the KGB catches him. A recently stolen giant diamond could be used together with Braun's knowledge to construct a laser cannon which could bring power over the whole world. Who will succeed: CIA or KGB - or none of them?",0,1989
100152,Mindwarp,"Horror, Sci-Fi, Thriller",Steve Barnett,"Bruce Campbell, Angus Scrimm, Marta Martin, Elizabeth Kent",https://m.media-amazon.com/images/M/MV5BMjEyMzAyNjQzMF5BMl5BanBnXkFtZTgwMjY2ODk1MDE@._V1_SX300.jpg,"A young woman in a post-apocolyptic world rebels against the status quo, in which everyone lives their lives out in a virtual reality fantasy world of their own choosing... With consequences she couldn't have imagined.",0,1992
100240,The Neverending Story II: The Next Chapter,"Adventure, Drama, Family",George Miller,"Jonathan Brandis, Kenny Morrison, Clarissa Burt, John Wesley Shipp",https://m.media-amazon.com/images/M/MV5BMTI0NzIwMDI5M15BMl5BanBnXkFtZTYwNjY5MTM5._V1_SX300.jpg,"Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.",0,1990
100586,Shadowzone,"Horror, Sci-Fi",J.S. Cardone,"Louise Fletcher, David Beecroft, James Hong, Frederick Flynn",https://m.media-amazon.com/images/M/MV5BMTY4NTA0MDA0MF5BMl5BanBnXkFtZTcwMDMzNjUyMQ@@._V1_SX300.jpg,"After someone is killed in the subterranean project called ""Shadowzone,"" a NASA captain is called in to investigate. In the project, sleeping subjects are induced into a deep EDS state whereby they become portals to a parallel universe. Unfortunately this causes adverse reactions in the subject, and something gets through the portal, the consequence of which is an attrition problem.",0,1990
101927,War of the Birds,"Family, Animation",Jannik Hastrup,"Sofie Bredesen, Vigga Bro, Lisbet Dahl, Pernille Hansen",https://m.media-amazon.com/images/M/MV5BMjM1ODk1NzE4Ml5BMl5BanBnXkFtZTgwMjc0NTAzMTE@._V1_SX300.jpg,"An owl, two sparrows, a dove and a pair of would-be aviator mice join forces to fight against an evil bird of prey who threatens the peace in their lovely forest.",0,1990
102125,Into the Badlands,"Horror, Western",Sam Pillsbury,"Bruce Dern, Mariel Hemingway, Helen Hunt, Dylan McDermott",https://m.media-amazon.com/images/M/MV5BODgzMzI4Mzg5M15BMl5BanBnXkFtZTcwMzk5MTgxMQ@@._V1_SX300.jpg,A bounty hunter searches the west for a wanted outlaw named Red Roundtree.,0,1991
102816,Center Stage,"Biography, Drama, Romance",Stanley Kwan,"Maggie Cheung, Han Chin, Tony Ka Fai Leung, Carina Lau",https://m.media-amazon.com/images/M/MV5BMTgzNzIyNjU4MF5BMl5BanBnXkFtZTcwODEyODgxMQ@@._V1_SX300.jpg,Biopic of 1930's Chinese actress Ruan Ling Yu.,0,1991
102913,Shout,"Drama, Music, Romance",Jeffrey Hornaday,"John Travolta, Jamie Walters, Heather Graham, Richard Jordan",https://m.media-amazon.com/images/M/MV5BMTIwNTg5NjEyMV5BMl5BanBnXkFtZTcwNTg5NTUyMQ@@._V1_SX300.jpg,A new music teacher in a 1955 West Texas home for wayward boys brings new vision and hope for many of the interned boys.,0,1991
493450,Sixty Six,"Biography, Comedy, Drama",Paul Weiland,"Charlie Clark, Nick Shirm, Thomas Drewson, Gregg Sulkin",https://m.media-amazon.com/images/M/MV5BMTAyNDY1ODk5OTleQTJeQWpwZ15BbWU3MDYwMjk3NzE@._V1_SX300.jpg,A boy's barmitzvah looks set to be a disaster when it coincides with the 1966 World Cup Final.,0,2006
104706,Lessons of Darkness,"Documentary, War",Werner Herzog,Werner Herzog,https://m.media-amazon.com/images/M/MV5BMTI1ODU1NDkwOV5BMl5BanBnXkFtZTcwMTM1NjUyMQ@@._V1_SX300.jpg,"This film shows the disaster of the Kuwaitian oil fields in flames, with few interviews and no explanatory narration. Hell itself is presented in such beautiful sights and music that one has to be fascinated by it.",0,1992
104886,Miss Rose White,Drama,Joseph Sargent,"Maximilian Schell, Kyra Sedgwick, Maureen Stapleton, Bari Biern",https://m.media-amazon.com/images/M/MV5BMTMwNTU5MjUxNV5BMl5BanBnXkFtZTcwNzQ0NjgxMQ@@._V1_SX300.jpg,Sister given up by Italian family only to be reunited 22 years later.,0,1992
1243971,Dirt! The Movie,Documentary,"Bill Benenson, Gene Rosow, Eleonore Dailly","Jamie Lee Curtis, Bill Logan, Vandana Shiva, Fritjof Capra",https://m.media-amazon.com/images/M/MV5BMTgyNjg4NTQ3OF5BMl5BanBnXkFtZTcwNTc2ODk3Mg@@._V1_SX300.jpg,"A look at man's relationship with Dirt. Dirt and humans couldn't be closer. We started our journey together as stardust, swirled by cosmic forces into our galaxy, solar system, and planet. We are made of the same stuff. Four billion years of evolution created dirt as the living source of all life on Earth including humans. Dirt has given us food, shelter, fuel, medicine, ceramics, flowers, cosmetics and color --everything needed for our survival. For most of the last ten thousand years we humans understood our intimate bond with dirt and the rest of nature. We took care of the soils that took care of us. But, over time, we lost that connection. Our species became greedy and careless. We still depend on dirt, but now we abuse and ignore it. We are destroying our last natural resource with our agriculture, our mining, and our paving over the planet for cities. We turned dirt into something ""dirty."" In doing so, we transform the skin of the earth into a hellish and dangerous landscape for all life on earth. A millennial shift in consciousness about the environment offers a beacon of hope - and practical solutions. Around the globe, pioneers are coming together to save earth's last natural resource. Tiny villages rise up to battle giant corporations slaughtering their land. Scientists discover connections with soil that can balance global warming. Generation X brands organic farming as trendy and children begin to eat from edible school yards. Inmates find inner peace and job skills in a prison horticulture program. Medical researchers explore dirt's capacity to provide solutions to such devastating health crises as AIDS. Major religions are rediscovering the reverence for the natural world that unites them all. Uses animation, vignettes, personal accounts and story telling.",0,2009
104954,My New Gun,Comedy,Stacy Cochran,"Diane Lane, James Le Gros, Stephen Collins, Tess Harper",https://m.media-amazon.com/images/M/MV5BMTQwODA5OTc3NV5BMl5BanBnXkFtZTcwMjI3OTYyMQ@@._V1_SX300.jpg,"Debbie and Gerald's lives drastically change after they get a gun. Their mysterious neighbor, Skippy, becomes and important and transforming figure in their lives.",0,1992
105316,Sarafina!,"Drama, Musical",Darrell Roodt,"Leleti Khumalo, Whoopi Goldberg, Miriam Makeba, John Kani",https://m.media-amazon.com/images/M/MV5BMTU5ODI3MzM3NF5BMl5BanBnXkFtZTcwOTcwNDcxMQ@@._V1_SX300.jpg,South African teenagers fight against apartheid in the Soweto Uprising.,0,1992
105347,Seedpeople,"Horror, Sci-Fi",Peter Manoogian,"Sam Hennings, Andrea Roth, Dane Witherspoon, Bernard Kates",https://m.media-amazon.com/images/M/MV5BMjA5NjA2NjkxNF5BMl5BanBnXkFtZTcwMzAzNzYyMQ@@._V1_SX300.jpg,"The sleepy little town of Comet Valley has been invaded by plants from outer space. Intent on taking over the Earth, the space plants have found a way to pollinate humans, thus turning them into walking seed carriers. Can the resourceful residents fight off the alien invaders, or is the planet doomed to become an alien garden?",0,1992
243222,The Doe Boy,"Drama, Romance",Randy Redroad,"James Duval, Kevin Anderson, Andrew J. Ferchland, Jeri Arredondo",https://m.media-amazon.com/images/M/MV5BMTYzNzcxNjk3N15BMl5BanBnXkFtZTcwNzgxNTYxMQ@@._V1_SX300.jpg,A Cherokee boy is a haemophiliac in a culture obsessed with blood identity.,0,2001
3457486,Closer to God,"Horror, Sci-Fi, Thriller",Billy Senese,"Jeremy Childs, Shelean Newman, Shannon Hoppe, David Alford",https://m.media-amazon.com/images/M/MV5BMTQ2MDEwMjg5OF5BMl5BanBnXkFtZTgwMzAyNzU5NTE@._V1_SX300.jpg,"A genetic scientist successfully clones the first human being, a baby girl named Elizabeth, but his work is soon threatened by a dark secret, a secret that threatens to destroy everything and everyone precious to him.",0,2014
106450,Body Melt,"Horror, Comedy, Sci-Fi",Philip Brophy,"Gerard Kennedy, Andrew Daddo, Ian Smith, Regina Gaigalas",https://m.media-amazon.com/images/M/MV5BMTIzOTA1MDM0OF5BMl5BanBnXkFtZTcwMTcwNjUyMQ@@._V1_SX300.jpg,"Residents of peaceful Pebbles Court, Homesville, are being used unknowingly as test experiments for a new 'Body Drug' that causes rapid body decomposition (melting skin etc.) and painful death.",0,1993
106877,Father Hood,Comedy,Darrell Roodt,"Patrick Swayze, Halle Berry, Sabrina Lloyd, Brian Bonsall",https://m.media-amazon.com/images/M/MV5BNzgxMjg0NzA0Ml5BMl5BanBnXkFtZTcwMTQ0MTUyMQ@@._V1_SX300.jpg,A deadbeat dad kidnaps his kids from the bus. Based on the true life stories and experiences of Michael J. Hardy.,0,1993
107254,Jason Goes to Hell: The Final Friday,"Fantasy, Horror, Thriller",Adam Marcus,"John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams",https://m.media-amazon.com/images/M/MV5BMTM3MTM1Njg0NV5BMl5BanBnXkFtZTYwNzcwNjk4._V1_SX300.jpg,The secret of Jason's evil is revealed. It is up to the last remaining descendant of the Voorhees family to stop Jason before he becomes immortal and unstoppable. This is the final (?) battle to end Jason's reign of terror forever.,0,1993
107563,The Meteor Man,"Action, Comedy, Fantasy",Robert Townsend,"Robert Townsend, Marla Gibbs, Eddie Griffin, Robert Guillaume",https://m.media-amazon.com/images/M/MV5BMTc5NDk0NDk2OF5BMl5BanBnXkFtZTcwNTQ2MDgyMQ@@._V1_SX300.jpg,"One night Jefferson Reed gets hit in the chest by a souped-up chunk of meteor. So he can fly, but he's scared of heights. He can master the information in any book ... for about fifteen minutes. Now his friends and family want him to protect their community from the dreaded Golden Lords.",0,1993
107808,A Perfect World,"Crime, Drama, Thriller",Clint Eastwood,"Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther",https://m.media-amazon.com/images/M/MV5BMjAxMDExODExOV5BMl5BanBnXkFtZTcwMTI3MTcxMQ@@._V1_SX300.jpg,"After escaping from a Huntsville prison, convict Butch Haynes and his partner Terry Pugh kidnap a young boy, Philip Perry, and flee across Texas. As they travel together, Butch and Philip discover common bonds and suffer the abuses of the outside ""Perfect World."" In pursuit is Texas Ranger ""Red"" Garnett and criminologist Sally Gerber.",0,1993
108137,The Silver Brumby,"Drama, Family",John Tatoulis,"Caroline Goodall, Russell Crowe, Amiel Daemion, Johnny Raaen",https://m.media-amazon.com/images/M/MV5BMjA5NTI3MTEwMl5BMl5BanBnXkFtZTcwMTQ4MjUyMQ@@._V1_SX300.jpg,"A mother tells her daughter a fable about the prince of the brumbies, brumby being a term for the feral horses of Australia, who must find its place among its kind, while one man makes it his mission to capture it and tame it.",0,1993
108308,Teenage Mutant Ninja Turtles III,"Action, Adventure, Comedy",Stuart Gillard,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",https://m.media-amazon.com/images/M/MV5BMTA0NjU1OTE4MTJeQTJeQWpwZ15BbWU3MDc1OTEzMjE@._V1_SX300.jpg,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",0,1993
108350,Night Terrors,Horror,Tobe Hooper,"Robert Englund, Zoe Trilling, Alona Kimhi, Juliano Mer-Khamis",https://m.media-amazon.com/images/M/MV5BMTI4NTUwMTg0OV5BMl5BanBnXkFtZTcwMDg3NzUxMQ@@._V1_SX300.jpg,"A young girl travels to Cairo to visit her father, and becomes unwillingly involved with a bizarre sadomasochistic cult led by the charismatic Paul Chevalier, who is a descendant of the Marquis de Sade.",0,1993
109894,Getting Out,Drama,John Korty,"Rebecca De Mornay, Robert Knepper, Carol Mitchell-leon, Richard Jenkins",https://m.media-amazon.com/images/M/MV5BMTYwMjYyMDE5Nl5BMl5BanBnXkFtZTYwNDUwOTg2._V1_SX300.jpg,A woman has to put her life back together after getting out of prison.,0,1994
